Date,Total Confirmed,Total Deaths
01/30/2020,1,0
01/31/2020,1,0
02/01/2020,1,0
02/02/2020,2,0
02/03/2020,3,0
02/04/2020,3,0
02/05/2020,3,0
02/06/2020,3,0
02/07/2020,3,0
02/08/2020,3,0
02/09/2020,3,0
02/10/2020,3,0
02/11/2020,3,0
02/12/2020,3,0
02/13/2020,3,0
02/14/2020,3,0
02/15/2020,3,0
02/16/2020,3,0
02/17/2020,3,0
02/18/2020,3,0
02/19/2020,3,0
02/20/2020,3,0
02/21/2020,3,0
02/22/2020,3,0
02/23/2020,3,0
02/24/2020,3,0
02/25/2020,3,0
02/26/2020,3,0
02/27/2020,3,0
02/28/2020,3,0
02/29/2020,3,0
03/01/2020,3,0
03/02/2020,5,0
03/03/2020,6,0
03/04/2020,28,0
03/05/2020,30,0
03/06/2020,31,0
03/07/2020,34,0
03/08/2020,39,0
03/09/2020,48,0
03/10/2020,63,0
03/11/2020,71,0
03/12/2020,81,1
03/13/2020,91,1
03/14/2020,102,2
03/15/2020,112,2
03/16/2020,126,2
03/17/2020,146,3
03/18/2020,171,3
03/19/2020,198,4
03/20/2020,256,4
03/21/2020,334,4
03/22/2020,403,7
03/23/2020,497,9
03/24/2020,571,10
03/25/2020,657,11
03/26/2020,730,16
03/27/2020,883,19
03/28/2020,1019,24
03/29/2020,1139,27
03/30/2020,1326,41
03/31/2020,1635,47
04/01/2020,2059,53
04/02/2020,2545,69
04/03/2020,3105,83
04/04/2020,3684,96
04/05/2020,4293,118
04/06/2020,4777,134
04/07/2020,5350,161
04/08/2020,5915,181
04/09/2020,6728,227
04/10/2020,7599,249
04/11/2020,8453,290
04/12/2020,9211,332
04/13/2020,10454,359
04/14/2020,11485,396
04/15/2020,12371,423
04/16/2020,13432,449
04/17/2020,14354,487
04/18/2020,15725,522
04/19/2020,17305,560
04/20/2020,18544,593
04/21/2020,20081,646
04/22/2020,21373,682
04/23/2020,23040,722
04/24/2020,24448,781
04/25/2020,26283,825
04/26/2020,27890,881
04/27/2020,29458,939
04/28/2020,31360,1008
04/29/2020,33065,1079
04/30/2020,34866,1154
05/01/2020,37262,1231
05/02/2020,39826,1323
05/03/2020,42778,1463
05/04/2020,46434,1566
05/05/2020,49405,1694
05/06/2020,53007,1785
05/07/2020,56351,1889
05/08/2020,59690,1986
05/09/2020,62865,2101
05/10/2020,67176,2213
05/11/2020,70768,2294
05/12/2020,74330,2414
05/13/2020,78056,2551
05/14/2020,82047,2648
05/15/2020,85855,2752
05/16/2020,90649,2872
05/17/2020,95698,3024
05/18/2020,100326,3155
05/19/2020,106480,3301
05/20/2020,112200,3435
05/21/2020,118223,3583
05/22/2020,124793,3725
